Catégorie,Gamme,Produit,Prix_TND,Prix_Original,Description,URL,Source
Quincaillerie,économique,Pack 6 Tire-fonds 6x40 avec chevilles TOROZER,1300.0,"1,300DT",,https://brico-direct.tn/visserie-et-assemblage/12698-pack-6-tire-fonds-6x40-torozer-6195550126981.html,brico-direct.tn
Quincaillerie,moyen_gamme,Pack 22 Tire-fonds avec chevilles TOROZER,8900.0,"8,900DT",,https://brico-direct.tn/visserie-et-assemblage/9491-pack-22-tire-fonds-avec-chevilles-torozer-6195550094914.html,brico-direct.tn
Quincaillerie,haut_gamme,Platerforme de travail roulante VISTA 3.0m...,3999000.0,"3 999,000DT",,https://brico-direct.tn/echelles-et-escabeaux/13466-platerforme-de-travail-roulante-vista-30m-cagsan.html,brico-direct.tn
Outillage,économique,Lame de scie à métaux 300mm VIKING,1800.0,"1,800DT",,https://brico-direct.tn/outils-de-coupe/6922-lame-de-scie-a-metaux-300mm-viking-5701604221246.html,brico-direct.tn
Outillage,moyen_gamme,Burin pointu SDS-MAX 18x600 DIAGER,49900.0,"49,900DT",Pour marteaux perforateurs SDS MAX,https://brico-direct.tn/burins/4329-pic-beton-sds-max-18x600-diager-3336600063495.html,brico-direct.tn
Outillage,haut_gamme,Marteau perforateur 1150W BOSCH GBH 5-40 DCE,2389000.0,"2 389,000DT",La puissance du SDS-Max !!,https://brico-direct.tn/marteaux/7834-marteau-perforateur-1150w-bosch-gbh-5-40dce-3165140461214.html,brico-direct.tn
Carrelage et revêtements,économique,Pack de 100 croisillons 1mm pour carrelage,1200.0,"1,200DT",Pour une pose de carrelage PARFAITE !,https://brico-direct.tn/autres-outillages-manuels/7030-pack-de-100-croisillons-1mm-pour-carrelage-6195550070307.html,brico-direct.tn
Carrelage et revêtements,moyen_gamme,Disque diamant Turbo 125mm WARRIOR TORNADO,22500.0,"22,500DT","Pour faïences, gypse, tuiles, etc..",https://brico-direct.tn/accessoires-pour-meuleuses/13056-disque-diamant-turbo-125mm-warrior-tornado-6195550130568.html,brico-direct.tn
Carrelage et revêtements,haut_gamme,Rainureuse 1500W CROWN,549900.0,"549,900DT",Permet de percer des saignées dans les murs,https://brico-direct.tn/scies/10369-rainureuse-1500w-crown-7640177425164.html,brico-direct.tn
Fer et métallurgie,économique,Pack de 10 rondelles M6x14 en INOX TOROZER,1400.0,"1,400DT",,https://brico-direct.tn/visserie-et-assemblage/12730-pack-de-10-rondelles-m6x14-en-inox-torozer-6195550127308.html,brico-direct.tn
Fer et métallurgie,moyen_gamme,Pistolet à mastic en Aluminium,19900.0,"19,900DT","Pour cartouches de silicone, PU, Colle, etc.",https://brico-direct.tn/autres-outillages-manuels/13197-pistolet-a-mastic-en-aluminium-6195550131978.html,brico-direct.tn
Fer et métallurgie,haut_gamme,Escabeau aluminium 6 marches FERRAL,195000.0,"195,000DT",En Aluminium,https://brico-direct.tn/echelles-et-escabeaux/12187-escabeau-aluminium-6-marches-ferral-5604620010361.html,brico-direct.tn
Peinture et enduits,économique,Rouleau anti-goutte de rechange en...,2000.0,"2,000DT",Idéal pour l'extérieur,https://brico-direct.tn/outils-pour-la-peinture/7800-rouleau-anti-goutte-de-rechange-en-polyester-et-acrylique-100mm-tolsen-6933528740308.html,brico-direct.tn
